iso-3,year,n_cellphones,population
NRU,1967,0.0,6114.0
NZL,1967,0.0,2724100.0
OMN,1967,0.0,622042.0
PAK,1967,0.0,54629793.0
PAN,1967,0.0,1391072.0
PER,1967,0.0,12481626.0
PHL,1967,0.0,34616857.0
PLW,1967,0.0,10992.0
PNG,1967,0.0,2322647.0
POL,1967,0.0,31987155.0
PRI,1967,0.0,2645674.0
PRK,1967,0.0,13821409.0
PRT,1967,0.0,8874520.0
PRY,1967,0.0,2248882.0
PSE,1967,0.0,2248882.0
PYF,1967,0.0,105995.0
QAT,1967,0.0,82517.0
ROU,1967,0.0,19534242.0
RUS,1967,0.0,128196000.0
RWA,1967,0.0,3549461.0
SAU,1967,0.0,5381026.0
SDN,1967,0.0,10320500.0
SEN,1967,0.0,3997869.0
SGP,1967,0.0,1977600.0
SLB,1967,0.0,159667.0
SLE,1967,0.0,2620396.0
SLV,1967,0.0,3354611.0
SMR,1967,0.0,17907.0
SOM,1967,0.0,3441799.0
SRB,1967,0.0,6880000.0
SSD,1967,0.0,3221957.0
STP,1967,0.0,73564.0
SUR,1967,0.0,343620.0
SVK,1967,0.0,4449367.0
SVN,1967,0.0,1689528.0
SWE,1967,0.0,7867931.0
SWZ,1967,0.0,409638.0
SXM,1967,0.0,4930.0
SYC,1967,0.0,49911.0
SYR,1967,0.0,5723306.0
TCA,1967,0.0,5662.0
TCD,1967,0.0,3461664.0
TGO,1967,0.0,1957164.0
THA,1967,0.0,32839341.0
TJK,1967,0.0,2714959.0
TKM,1967,0.0,2018024.0
TLS,1967,0.0,525274.0
TON,1967,0.0,81725.0
TTO,1967,0.0,955681.0
TUN,1967,0.0,4661271.0
TUR,1967,0.0,33026490.0
